id,date,category,contributors,headline,url,trump,biden
h_f7c95f2aa741ea2d51e3b887c2485954,12/2/2020,politics,Michael Warren and Manu Raju,The seven most important relationships Biden will have on Capitol Hill,https://www.cnn.com/2020/12/02/politics/biden-romney-seven-important-relationships/index.html,0.467754,0.319895
h_33c8f776c8a5f47879db3526e95f40c5,12/2/2020,politics,Jason Morris and Chandelis R. Duster and Tori Apodaca,Georgia\'s GOP secretary of state says recount results will show \'no substantial changes\',https://www.cnn.com/2020/12/02/politics/georgia-recount-results-brad-raffensperger/index.html,-0.830409,0
h_388eff6e737c71d0f8e06dcd5b057099,6/28/2013,us,,John F. Kennedy Assassination Fast Facts,https://www.cnn.com/2013/06/28/us/john-f-kennedy-assassination-fast-facts/index.html,-0.713226,0
h_6b4ba258eec3ad252b5de7d585342c7b,12/2/2020,politics,Lauren Dezenski,Maine just elected the nation\'s youngest House speaker,https://www.cnn.com/2020/12/02/politics/maine-youngest-house-speaker-elected/index.html,0,0
h_6d054f7c1ab5fc96f11f187c1bdb3456,12/2/2020,politics,Ryan Browne and Brian Fung and Lauren Fox,Trump using military funding as leverage in fight with tech giants,https://www.cnn.com/2020/12/02/politics/trump-ndaa-threat-section-230/index.html,-0.666616,0.524371
h_a971198411bd48203fc4e128a7ade486,12/2/2020,politics,Chris Cillizza,Another Donald Trump presidential bid is the absolute worst case scenario for Republicans,https://www.cnn.com/2020/12/02/politics/donald-trump-2024-republican-party/index.html,-0.616309,-0.701585
h_b29408893a317c5da255f72f44274a81,12/2/2020,politics,Veronica Stracqualursi and Devan Cole,Kwanza Hall wins special election to serve remainder of John Lewis\' term in Congress,https://www.cnn.com/2020/12/02/politics/kwanza-hall-georgia-john-lewis/index.html,0,0
h_8087098bd78a20a16a080fcc5662c8c3,12/2/2020,us,AJ Willingham,5 things to know for December 2: Covid-19; pardon probe; economy; China; Brazil,https://www.cnn.com/2020/12/02/us/five-things-december-2-trnd/index.html,-0.377197,0
h_e2bf4cfdebf8b005cdcdb64559b7cfc1,11/25/2020,politics,Meg Wagner and Melissa Macaya and Mike Hayes and Veronica Rocha,Biden\'s transition moves ahead,https://www.cnn.com/politics/live-news/biden-trump-us-election-news-11-30-20/index.html,-0.576757,-0.349682
h_6d0a5d70b5e28b295846ea148a4ae5d6,12/2/2020,politics,Kaitlan Collins and Jim Acosta,Trump talks of \'another four years\' during White House Christmas reception,https://www.cnn.com/2020/12/01/politics/donald-trump-christmas-party-second-term/index.html,-0.54463,0.269916
